tweet_text,cyberbullying_type
word food crap,not_cyberbullying
white,not_cyberbullying
classy whore red velvet cupcake,not_cyberbullying
account account like lie,not_cyberbullying
yes test god good bad different weird whatever prof god existence,not_cyberbullying
ya temp bully ga ne,not_cyberbullying
karma hope bite kat butt nasty,not_cyberbullying
black drop school due bullying,not_cyberbullying
undecided uneasy hesitant u,not_cyberbullying
bully flush undecided uneasy hesitant twit,not_cyberbullying
ugh,not_cyberbullying
state child last year undecided uneasy hesitant w,not_cyberbullying
love best response film non committal adolescent,not_cyberbullying
de bullying bando de,not_cyberbullying
de mim bulling,not_cyberbullying
best pick line hi cute love people call potter bully undecided uneasy hesitant,not_cyberbullying
got walk class officially hate stupid bus system,not_cyberbullying
know girl burning building undecided uneasy hesitant,not_cyberbullying
love face blowing kiss red heart bin city undecided uneasy hesitant,not_cyberbullying
still jack crown bud light lime rita love handle feel jiggle walk,not_cyberbullying
men one going push real change one power generally need help,not_cyberbullying
education nation bullying turn undecided uneasy hesitant,not_cyberbullying
bullying,not_cyberbullying
post event like daily occurrence around world isolate one,not_cyberbullying
know people like listen old school,not_cyberbullying
thing even horrible company would still,not_cyberbullying
think third period teacher like always tell go class walk class,not_cyberbullying
quote one hand pointing,not_cyberbullying
hope round girl cook,not_cyberbullying
look public school bullying student gone undecided uneasy hesitant,not_cyberbullying
really miss classmate schoolmate see soon people,not_cyberbullying
hey orange skirt,not_cyberbullying
paper,not_cyberbullying
elephant direct,not_cyberbullying
film pot ret bullying,not_cyberbullying
brown thanksgiving,not_cyberbullying
zing heart,not_cyberbullying
poise die ria bullying de mu me mo la tin ham culpa,not_cyberbullying
one ever help like bully,not_cyberbullying
bulling se en dice hit ur son wen,not_cyberbullying
lead shutting bad al school backward area parent mostly allow join far away school,not_cyberbullying
look like gypsy sorry sorry,not_cyberbullying
oh hey ashamed disgusting self undecided uneasy hesitant slit ug,not_cyberbullying
good news ever problem big mean bully know call,not_cyberbullying
save witty reply little panache want get reading level,not_cyberbullying
yea breeding violence thing well,not_cyberbullying
faith tweet incoherent,not_cyberbullying
bully last night,not_cyberbullying
mao time trying squeeze logic religious nut crazy,not_cyberbullying
follow news report shooting death trial undecided uneasy hesitant,not_cyberbullying
unlike men fix car fit giant swelled head,not_cyberbullying
dae sh ing stolen humanitarian aid undecided uneasy hesitant undecided uneasy hesitant,not_cyberbullying
wait voting come back school,not_cyberbullying
worst hoe hoe admit hoe,not_cyberbullying
even bully en ge van season en happy face,not_cyberbullying
sleep make like skin oily next day,not_cyberbullying
freaky ready hoe,not_cyberbullying
old oil u pay every drop oil get open market like every country,not_cyberbullying
colin hot,not_cyberbullying
bullying de po tweet,not_cyberbullying
round round go stop nobody know much drag,not_cyberbullying
first social test year,not_cyberbullying
start class tomorrow though relieved face,not_cyberbullying
self,not_cyberbullying
thing well promote bullying,not_cyberbullying
bullying contra o sol,not_cyberbullying
eu bullying undecided uneasy hesitant,not_cyberbullying
even pick th convert,not_cyberbullying
boy class another big,not_cyberbullying
mum need college bad handbag frown sad angry pouting,not_cyberbullying
se rio de bullying,not_cyberbullying
really wish could graduate already go college get away sibling sick,not_cyberbullying
knew someone undecided uneasy hesitant may,not_cyberbullying
best bully stick spotlight bree tongue sticking cheeky playful blowing raspberry honor always love getting undecided uneasy hesitant bit ly u,not_cyberbullying
col io de disc bullying bom undecided uneasy hesitant,not_cyberbullying
bullying para ser ace social men te,not_cyberbullying
walk circle around black meteor delusion please god,not_cyberbullying
ranting idiot,not_cyberbullying
know hundred single one fit di script ion,not_cyberbullying
pussy hoe till get pussy hoe,not_cyberbullying
claro ma fa lar agora bullying,not_cyberbullying
support like people like ramus complain thing support done,not_cyberbullying
best martial art stopping bullying undecided uneasy hesitant vol,not_cyberbullying
swore raven going whoop watt going destroy line,not_cyberbullying
dozen witness seen target civilian propaganda,not_cyberbullying
seriously would feed formula twenty time vitamin breast milk,not_cyberbullying
anti bullying workshop offer parent practical legal solution percent student nationwide undecided uneasy hesitant,not_cyberbullying
success team next door always going feeling confident,not_cyberbullying
